url,local,nombre_show,n_opiniones,num_paginas
/entradas/juanma-molina-y-ruinas-planchuelo-del-sur_e4882475/,Teatro Chocita del Loro - Gran Vía,Juanma Molina Y Ruinas Planchuelo Del Sur,23,3
/entradas/comedy-rally_e4897977/,El Golfo Comedy Club,Comedy Rally,75,8
/entradas/chic-comedy-monologos_e4877014/,Estupenda Bar,Chic Comedy Monologos,214,22
/entradas/el-micro-abierto-de-la-estupenda_e4882229/,Estupenda Bar,El Micro Abierto De La Estupenda,65,7
/entradas/archie-bezos-gracioso_e4860241/,El Golfo Comedy Club,Archie Bezos Gracioso,23,3
/entradas/monologos-en-san-sebastian-de-los-reyes_e4893576/,La Nota Rock,Monologos En San Sebastian De Los Reyes,48,5
/entradas/ruben-garcia-haters_e4882479/,Teatro Chocita del Loro - Gran Vía,Ruben Garcia Haters,12,2
/entradas/no-te-atasques-con-tu-vida-joan-natzari_e4879301/,Teatro de las Aguas,No Te Atasques Con Tu Vida Joan Natzari,237,24
/entradas/kabraloker-monologos-y-anti-magia_e4888591/,Clandestino Café Teatro,Kabraloker Monologos Y Anti Magia,57,6
/entradas/banalita-con-pablo-medina-jesus-dolande-alvaro-saez-_e4874807/,El Golfo Comedy Club,Banalita Con Pablo Medina Jesus Dolande Alvaro Saez ,1031,104
/entradas/stand-up-en-el-momento_e4881888/,El Golfo Comedy Club,Stand Up En El Momento,11,2
/entradas/estacion-comedy_e4853626/,Estación Malasaña,Estacion Comedy,140,15
/entradas/momentos-de-ternura-con-edu-halmoguera-y-pablo-medina_e4879308/,El Golfo Comedy Club,Momentos De Ternura Con Edu Halmoguera Y Pablo Medina,19,2
/entradas/punch-comedy-english-stand-up-comedy-in-english_e4865469/,El Golfo Comedy Club,Punch Comedy English Stand Up Comedy In English,26,3
/entradas/dos-gordos-muy-grasiosos-en-estupenda-bar-_e4883350/,Estupenda Bar,Dos Gordos Muy Grasiosos En Estupenda Bar ,1082,109
/entradas/probando-material_e4858218/,El Golfo Comedy Club,Probando Material,14,2
/entradas/100-risas-y-humor-mancheguito-_e4883513/,Estación Malasaña,100 Risas Y Humor Mancheguito ,10133,1014
/entradas/dos-de-cal_e4899472/,Teatro de las Aguas,Dos De Cal,2,1
/entradas/humor-de-perros_e4887838/,Clandestino Café Teatro,Humor De Perros,9,1
