fecha,nota_total,grupo_de,calidad_del_espectáculo,puesta_en_escena,interpretación_artística,nombre_show,nombre_local
2023-05-13,10,Solo,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-07-10,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-04,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-17,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-07-09,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-06,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-21,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-12,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-07-02,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-09,9.1,Pareja,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-30,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-20,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-08,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-02,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-07-02,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-28,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-10,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-10,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-26,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-15,10,Solo,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-07-03,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-21,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-11,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-01,9.1,Pareja,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-19,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-29,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-21,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-22,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-07-03,9.1,Pareja,7.5,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-13,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-06-18,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-05-06,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-31,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-06,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-15,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-14,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-21,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-25,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-17,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-31,9.1,Family,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-20,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-07,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-19,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-14,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-19,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-24,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-23,9.1,Family,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-25,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-01,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-08,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-18,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-01,9.1,Pareja,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-26,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-19,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-15,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-23,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-08,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-05,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-09,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-16,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-29,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-13,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-15,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-03,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-12,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-28,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-12,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-02,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-13,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-28,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-12,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-01,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-09,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-14,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-20,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-21,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-27,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-23,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-27,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-07,9.1,Amigos,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-08,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-28,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-19,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-15,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-12,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-09,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-20,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-05,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-20,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-05,9.1,Pareja,7.5,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
